sentence,intent
What is happening in Harrisburg?,Events
What events are going on today?,Events
Is there any new activities going on?,Events
When is the next big party?,Events
What is going to occur on May 9th?,Events
When is the new years party?,Events
Who shares my interests in technology?,People
Find people who like hiking and camping,People
Who are the top experts in AI?,People
Can you find someone who enjoys cooking?,People
Does anyone share my interests in running?,People
What's going on this weekend in Chicago?,Events
Are there any activities going on in New York?,Events
Who likes to cook?,People
Can I meet someone who enjoys painting?,People
Who can I meet who enjoys writing?,People